Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Sprint,Component,Priority,Labels
Epic,Fundaciones técnicas e infraestructura base,,Fundaciones técnicas e infraestructura base,"Base técnica del proyecto: monorepo, esqueletos de backend/frontend, docker-compose y CI. Sin dependencias previas. Total estimado: 5 pts / 40h.",,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,Monorepo y estructura de carpetas (backend/frontend/infra),"Criterio de aceptación: Repo con carpetas separadas, README de arranque local. (8h estimadas)",1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"Esqueleto NestJS por capas (módulos, config, health check)",Criterio de aceptación: GET /health responde 200; estructura de módulos por dominio lista. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,Esqueleto Vue + Tailwind con tokens de marca,"Criterio de aceptación: Colores/tipografías (Fraunces o Poppins, Inter, IBM Plex Mono) disponibles como tokens reutilizables. (8h estimadas)",1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"docker-compose base (Postgres, Redis, backend, frontend, nginx)",Criterio de aceptación: docker compose up levanta los 5 servicios sin error. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Story,,Fundaciones técnicas e infraestructura base,"Pipeline CI (lint, test, build)",Criterio de aceptación: CI corre en cada PR y bloquea merge si falla. (8h estimadas),1,Sprint 1,Transversal,Highest,mvp;transversal
Epic,"Autenticación, usuarios y permisos",,"Autenticación, usuarios y permisos","Login, JWT, RBAC y auditoría base. Depende de E1. Bloquea a todas las épicas siguientes. Total estimado: 13 pts / 80h.",,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",Login con JWT access+refresh y rotación,Criterio de aceptación: Login válido devuelve access+refresh; refresh rota el token; token expirado rechaza requests. (20h estimadas),3,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",RBAC: roles Coach/Coachee/Empresa con guards por endpoint,Criterio de aceptación: Cada endpoint rechaza (403) a roles no autorizados. (20h estimadas),3,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",Alta de cuenta por el coach (sin email real),Criterio de aceptación: El coach genera una credencial temporal visible en pantalla para compartir manualmente. (10h estimadas),2,Sprint 2,Transversal,High,mvp;transversal
Story,,"Autenticación, usuarios y permisos","Registro base de auditoría (quién hizo qué, cuándo)","Criterio de aceptación: Cada acción sensible (login, aprobación, edición) deja una fila en el log de auditoría. (10h estimadas)",2,Sprint 2,Transversal,High,mvp;transversal
Story,,"Autenticación, usuarios y permisos","Headers de seguridad, rate-limit y CORS",Criterio de aceptación: Headers OWASP presentes; rate-limit activo en login; CORS restringido al dominio de la app. (10h estimadas),2,Sprint 2,Transversal,Highest,mvp;transversal
Story,,"Autenticación, usuarios y permisos",Cambio/reset de contraseña autogestionado (sin email real),Criterio de aceptación: El usuario cambia su contraseña con la actual; reset genera token temporal mostrado en pantalla al coach. (10h estimadas),1,Sprint 2,Transversal,High,mvp;transversal
Epic,Empresas y Coachees (multi-tenant real),,Empresas y Coachees (multi-tenant real),"CRUD de empresas y coachees, independientes con tarifa propia, y scoping multi-tenant real. Depende de E2. Total estimado: 8 pts / 60h.",,Sprint 3,Coach,High,mvp;coach
Story,,Empresas y Coachees (multi-tenant real),CRUD de empresas (6 empresas configurables + tarifa/hora),Criterio de aceptación: Coach crea/edita/desactiva una empresa con su tarifa. (15h estimadas),2,Sprint 3,Coach,High,mvp;coach
Story,,Empresas y Coachees (multi-tenant real),"CRUD de coachees (datos, empresa, jefe directo, objetivo del proceso)",Criterio de aceptación: Coach crea/edita un coachee vinculado a una empresa. (15h estimadas),2,Sprint 3,Coach,High,mvp;coach
Story,,Empresas y Coachees (multi-tenant real),"Soporte ""Independientes"" con tarifa propia (tarifaPropia)",Criterio de aceptación: Un coachee sin empresa puede tener tarifa propia que prevalece sobre cualquier tarifa de empresa. (10h estimadas),2,Sprint 3,Coach,Medium,mvp;coach
Story,,Empresas y Coachees (multi-tenant real),Scoping multi-tenant real para Empresa,Criterio de aceptación: Un usuario de Empresa solo puede ver/consultar coachees de su propia empresa (verificado con 2 empresas distintas). (10h estimadas),1,Sprint 3,Coach,High,mvp;coach
Story,,Empresas y Coachees (multi-tenant real),"Contacto autogestionado del coachee, requerido con aviso si falta","Criterio de aceptación: El coachee edita su teléfono/email; si falta, se muestra un aviso visible al coach. (10h estimadas)",1,Sprint 3,Coachee,Medium,mvp;coachee
Epic,Sesiones y calendario,,Sesiones y calendario,"Calendario compartido, agendar/reagendar sesiones, y separación resumen/notas privadas. Depende de E3. Total estimado: 13 pts / 80h.",,Sprint 4,Coach,High,mvp;coach
Story,,Sesiones y calendario,Modelo de sesión + calendario compartido,Criterio de aceptación: Una sesión creada por el coach aparece igual en la vista del coachee. (15h estimadas),3,Sprint 4,Coach,High,mvp;coach
Story,,Sesiones y calendario,Agendar / editar / eliminar sesión (vista coach),"Criterio de aceptación: Coach agenda, mueve o elimina una sesión y el calendario se actualiza. (15h estimadas)",2,Sprint 4,Coach,High,mvp;coach
Story,,Sesiones y calendario,Solicitud de reagendamiento + respuesta del coach,Criterio de aceptación: Coachee solicita reagendar con motivo opcional; coach responde con disponibilidad o propone fecha nueva que actualiza el calendario real. (20h estimadas),3,Sprint 4,Transversal,Medium,mvp;transversal
Story,,Sesiones y calendario,Resumen compartido vs. notas privadas del coach,Criterio de aceptación: El resumen es visible al coachee; las notas privadas nunca aparecen en la vista de coachee ni empresa. (15h estimadas),2,Sprint 4,Coach,High,mvp;coach
Story,,Sesiones y calendario,"Botón ""Unirse a la sesión"" simulado (ventana de tiempo, link editable)","Criterio de aceptación: El botón solo se activa entre 10 min antes y 90 min después de la hora agendada, y abre el link que el coach configuró — sin backend de videollamada real. (10h estimadas)",2,Sprint 4,Transversal,Medium,mvp;transversal
Story,,Sesiones y calendario,Recordatorio automático en pantalla de la próxima sesión,Criterio de aceptación: El coachee ve un aviso de su próxima sesión al entrar — sin envío real de email/SMS/WhatsApp. (5h estimadas),1,Sprint 4,Coachee,Low,mvp;coachee
Epic,Plan de desarrollo — backend,,Plan de desarrollo — backend,Modelo de datos del plan de desarrollo y máquina de estados de aprobación. Depende de E3. Bloquea a E6. Total estimado: 11 pts / 60h.,,Sprint 5,Transversal,High,mvp;transversal
Story,,Plan de desarrollo — backend,"Modelo de datos del plan (competencia, niveles, plazo, objetivo general)","Criterio de aceptación: Estructura basada en la planilla ""Plan de Desarrollo""; persiste y se recupera correctamente. (10h estimadas)",2,Sprint 5,Transversal,High,mvp;transversal
Story,,Plan de desarrollo — backend,"Objetivos específicos con relación real (FK), no índice de array","Criterio de aceptación: Cada objetivo específico tiene su propio id persistente, referenciable desde el plan de ejecución. (10h estimadas)",2,Sprint 5,Transversal,High,mvp;transversal
Story,,Plan de desarrollo — backend,Máquina de estados de aprobación,Criterio de aceptación: Transiciones válidas: Sin enviar → Pendiente de aprobación → Aprobado / Cambios solicitados → (vuelve a Pendiente al reenviar). (20h estimadas),3,Sprint 5,Transversal,Highest,mvp;transversal
Story,,Plan de desarrollo — backend,API de envío/aprobación/rechazo con comentario,"Criterio de aceptación: ""Solicitar cambios"" exige comentario y lo deja visible al coachee vía API. (10h estimadas)",2,Sprint 5,Transversal,High,mvp;transversal
Story,,Plan de desarrollo — backend,"Catálogo maestro de competencias (seed desde hoja ""Competencia"" de la planilla)","Criterio de aceptación: Las ~16 competencias con su definición y niveles conductuales quedan cargadas como datos maestros, no como texto libre. (10h estimadas)",2,Sprint 5,Transversal,Medium,mvp;transversal
Epic,Plan de desarrollo — frontend,,Plan de desarrollo — frontend,UI del plan de desarrollo con bloqueo de campos durante aprobación. Depende de E5. Bloquea a E7. Total estimado: 10 pts / 60h.,,Sprint 6,Coachee,High,mvp;coachee
Story,,Plan de desarrollo — frontend,Formulario de Definición con bloqueo durante aprobación,"Criterio de aceptación: Competencia, nivel objetivo, objetivo general y objetivos específicos quedan de solo lectura mientras el estado es ""Pendiente de aprobación"". (20h estimadas)",3,Sprint 6,Coachee,High,mvp;coachee
Story,,Plan de desarrollo — frontend,Sub-pestaña Hábito y ejecución (Cuándo/En vez de/Voy a + Obvio/Sencillo/Atractivo/Satisfactorio),Criterio de aceptación: Los 4 campos del marco de hábito se guardan y muestran correctamente. (10h estimadas),2,Sprint 6,Coachee,Medium,mvp;coachee
Story,,Plan de desarrollo — frontend,Plan de ejecución con objetivo primario único por actividad,Criterio de aceptación: Cada actividad se vincula a un solo objetivo específico vía selector; no se permite selección múltiple. (15h estimadas),2,Sprint 6,Coachee,Medium,mvp;coachee
Story,,Plan de desarrollo — frontend,Sub-pestaña Formación (libros/artículos/videos/podcasts/práctica guiada),Criterio de aceptación: Los 5 campos de formación se guardan como texto libre. (5h estimadas),1,Sprint 6,Coachee,Low,mvp;coachee
Story,,Plan de desarrollo — frontend,Vista del coach: aprobar o solicitar cambios,Criterio de aceptación: El coach ve el plan enviado y puede aprobar o rechazar con comentario desde su propia vista. (10h estimadas),2,Sprint 6,Coach,High,mvp;coach
Epic,Post-sesión y seguimiento del coachee,,Post-sesión y seguimiento del coachee,"Registro post-sesión, avance general, logros y diario del coachee. Depende de E4 y E6. Bloquea a E9. Total estimado: 13 pts / 80h.",,Sprint 7,Coachee,High,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,Post-sesión inmutable por sesión realizada,"Criterio de aceptación: Aprendizaje, utilidad (1-5) y cercanía al objetivo (1-10) quedan bloqueados una vez publicados. (20h estimadas)",3,Sprint 7,Coachee,High,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,"Cálculo único de ""avance general"" (avanceRealDe)","Criterio de aceptación: El mismo número de avance se muestra en la vista de coachee, coach y empresa para un mismo coachee. (10h estimadas)",2,Sprint 7,Coachee,High,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,Recomendación del coachee + temas propuestos para la próxima sesión,Criterio de aceptación: El coach ve la recomendación y los temas propuestos antes de la siguiente sesión. (10h estimadas),2,Sprint 7,Coachee,Medium,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,Registro de logros (bitácora),"Criterio de aceptación: El coachee agrega un logro con fecha y descripción, visible en su historial. (10h estimadas)",2,Sprint 7,Coachee,Medium,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,Diario de reflexión persistente con confirmación de guardado,Criterio de aceptación: El diario se guarda y muestra una confirmación visual (toast) al guardar. (10h estimadas),2,Sprint 7,Coachee,Medium,mvp;coachee
Story,,Post-sesión y seguimiento del coachee,Línea de tiempo de progreso (nivel de competencia sesión a sesión),Criterio de aceptación: Gráfico que muestra la evolución del nivel a lo largo de las sesiones registradas. (20h estimadas),2,Sprint 7,Coachee,Medium,mvp;coachee
Epic,Biblioteca de recursos,,Biblioteca de recursos,CRUD de recursos y asignación explícita coach→coachee. Depende de E3. Total estimado: 8 pts / 60h.,,Sprint 8,Coach,Medium,mvp;coach
Story,,Biblioteca de recursos,CRUD de recursos + subida a almacenamiento de objetos,Criterio de aceptación: El coach sube un recurso (archivo o link) y queda disponible en la biblioteca general. (25h estimadas),3,Sprint 8,Coach,Medium,mvp;coach
Story,,Biblioteca de recursos,Asignación N:N explícita coach→coachee,Criterio de aceptación: El coach activa/desactiva qué recursos ve cada coachee específico. (15h estimadas),2,Sprint 8,Coach,Medium,mvp;coach
Story,,Biblioteca de recursos,Biblioteca personal del coachee (asignados + autoasignados),Criterio de aceptación: El coachee solo ve los recursos que le fueron asignados o que él mismo tomó de la biblioteca general. (10h estimadas),1,Sprint 8,Coachee,Medium,mvp;coachee
Story,,Biblioteca de recursos,Buscador y filtro por etiqueta (vista coach),Criterio de aceptación: Buscar por texto o etiqueta filtra la lista de recursos en tiempo real. (5h estimadas),1,Sprint 8,Coach,Low,mvp;coach
Story,,Biblioteca de recursos,Aprendizajes prácticos sobre recursos asignados,Criterio de aceptación: El coachee registra un aprendizaje ligado a un recurso específico. (5h estimadas),1,Sprint 8,Coachee,Low,mvp;coachee
Epic,Ciclos e informes — backend,,Ciclos e informes — backend,Modelo de ciclo de coaching e informe final. Depende de E6 y E7. Bloquea a E10. Total estimado: 11 pts / 60h.,,Sprint 9,Coach,High,mvp;coach
Story,,Ciclos e informes — backend,Modelo de ciclo de coaching (apertura/cierre/resultado),"Criterio de aceptación: Un ciclo se abre, se cierra y queda con resultado Logrado / Medianamente logrado / No logrado. (15h estimadas)",3,Sprint 9,Coach,High,mvp;coach
Story,,Ciclos e informes — backend,"Resumen de reunión inicial (solo coach edita, empresa solo lee)",Criterio de aceptación: La empresa puede leer el resumen pero el endpoint de edición rechaza su rol. (10h estimadas),2,Sprint 9,Coach,Medium,mvp;coach
Story,,Ciclos e informes — backend,Generador de borrador de informe final,"Criterio de aceptación: El sistema arma un texto inicial desde los datos ya cargados del coachee (objetivos, sesiones, avance). (20h estimadas)",3,Sprint 9,Coach,Medium,mvp;coach
Story,,Ciclos e informes — backend,Almacenamiento de informes/PDFs por ciclo,Criterio de aceptación: El PDF subido queda asociado al ciclo y es descargable después. (10h estimadas),2,Sprint 9,Coach,Medium,mvp;coach
Story,,Ciclos e informes — backend,Alerta de ciclo por vencer (≤2 sesiones restantes),Criterio de aceptación: La alerta aparece automáticamente cuando quedan 2 o menos sesiones del ciclo. (5h estimadas),1,Sprint 9,Coach,Medium,mvp;coach
Epic,Ciclos e informes — frontend,,Ciclos e informes — frontend,"UI de informe final, certificado y vistas de ciclo para empresa. Depende de E9. Total estimado: 10 pts / 60h.",,Sprint 10,Coach,Medium,mvp;coach
Story,,Ciclos e informes — frontend,UI de informe final (edición del borrador antes de subir),Criterio de aceptación: El coach edita el texto generado automáticamente antes de publicarlo. (20h estimadas),3,Sprint 10,Coach,Medium,mvp;coach
Story,,Ciclos e informes — frontend,Certificado descargable al completar el ciclo,"Criterio de aceptación: Al cerrar el ciclo con resultado, el coachee puede descargar su certificado. (15h estimadas)",2,Sprint 10,Coachee,Medium,mvp;coachee
Story,,Ciclos e informes — frontend,UI de resumen de reunión inicial (solo lectura empresa),Criterio de aceptación: La empresa ve el resumen sin controles de edición. (10h estimadas),2,Sprint 10,Empresa,Medium,mvp;empresa
Story,,Ciclos e informes — frontend,Historial de ciclos anteriores por coachee (expandible),Criterio de aceptación: La empresa y el coach pueden expandir ciclos previos de un mismo coachee. (10h estimadas),2,Sprint 10,Empresa,Low,mvp;empresa
Story,,Ciclos e informes — frontend,Selector de resultado del proceso visible para la empresa,Criterio de aceptación: La empresa ve el resultado final marcado por el coach (Logrado/Medianamente logrado/No logrado). (5h estimadas),1,Sprint 10,Empresa,Medium,mvp;empresa
Epic,Panel de negocio y reportes,,Panel de negocio y reportes,"Ingresos, alertas de seguimiento y reportes exportables del coach. Depende de E9. Total estimado: 13 pts / 80h.",,Sprint 11,Coach,High,mvp;coach
Story,,Panel de negocio y reportes,Cálculo único de cobros por empresa (calcularResumenCobros),"Criterio de aceptación: El mismo cálculo alimenta el panel de inicio y la pestaña Negocio, sin cifras distintas entre ambos. (20h estimadas)",3,Sprint 11,Coach,High,mvp;coach
Story,,Panel de negocio y reportes,"Panel de negocio: horas, ingresos del período, ingreso proyectado",Criterio de aceptación: Ingresos del período solo suma empresas marcadas como pagadas; proyectado suma sesiones agendadas futuras. (20h estimadas),3,Sprint 11,Coach,High,mvp;coach
Story,,Panel de negocio y reportes,Panel de alertas de seguimiento,"Criterio de aceptación: Alerta a coachees sin logros recientes, ciclos por cerrar y sesiones sin agendar. (15h estimadas)",2,Sprint 11,Coach,Medium,mvp;coach
Story,,Panel de negocio y reportes,Comparativa de avance por área/gerencia (gráfico de barras),Criterio de aceptación: El gráfico agrupa el avance promedio por área/gerencia. (10h estimadas),2,Sprint 11,Coach,Low,mvp;coach
Story,,Panel de negocio y reportes,"Exportar reporte real PDF/Excel (client-side, sin integración externa)","Criterio de aceptación: El PDF se genera vía impresión del navegador y el Excel vía SheetJS, sin llamar a ningún servicio externo. (10h estimadas)",2,Sprint 11,Coach,Medium,mvp;coach
Story,,Panel de negocio y reportes,Gestión de horas contratadas vs. consumidas por empresa,Criterio de aceptación: Se muestra el consumo de horas de cada empresa contra lo contratado. (5h estimadas),1,Sprint 11,Coach,Medium,mvp;coach
Epic,"Legal, auditoría y búsqueda global",,"Legal, auditoría y búsqueda global","Contratos/NDA, cumplimiento LPDP, auditoría y búsqueda global. Depende de E2. Reemplaza al antiguo sprint de videollamada Jitsi (fuera de alcance). Total estimado: 8 pts / 55h.",,Sprint 12,Coach,Medium,mvp;coach
Story,,"Legal, auditoría y búsqueda global","Contratos y NDA por empresa (registro manual, sin firma electrónica real)","Criterio de aceptación: El coach marca estado (firmado/pendiente), fecha y vigencia por empresa. (15h estimadas)",2,Sprint 12,Coach,Medium,mvp;coach
Story,,"Legal, auditoría y búsqueda global",Consentimiento informado por coachee,Criterio de aceptación: Se registra y cuenta cuántos coachees de cada empresa tienen consentimiento firmado. (10h estimadas),1,Sprint 12,Coach,Medium,mvp;coach
Story,,"Legal, auditoría y búsqueda global",Panel de cumplimiento LPDP (checklist de medidas activas),"Criterio de aceptación: Se listan las medidas activas (notas privadas, contacto autogestionado, datos agregados a empresa). (10h estimadas)",1,Sprint 12,Coach,Medium,mvp;coach
Story,,"Legal, auditoría y búsqueda global",Historial de auditoría (UI sobre el log del Sprint 2),"Criterio de aceptación: Se puede ver quién editó qué y cuándo, filtrado por coachee o tipo de acción. (10h estimadas)",2,Sprint 12,Coach,Medium,mvp;coach
Story,,"Legal, auditoría y búsqueda global","Búsqueda global (coachees, empresas, competencias, recursos)",Criterio de aceptación: La búsqueda fija en la vista del coach encuentra resultados de las 4 entidades desde un mismo campo. (10h estimadas),2,Sprint 12,Coach,Low,mvp;coach
Epic,Satisfacción y gestión comercial,,Satisfacción y gestión comercial,Encuestas y solicitudes comerciales de la empresa. Depende de E10. Total estimado: 5 pts / 40h.,,Sprint 13,Empresa,Medium,mvp;empresa
Story,,Satisfacción y gestión comercial,Encuesta de satisfacción de la empresa,Criterio de aceptación: La empresa responde una encuesta y el resultado queda visible al coach. (15h estimadas),2,Sprint 13,Empresa,Medium,mvp;empresa
Story,,Satisfacción y gestión comercial,Solicitud de nuevo proceso de coaching (formulario),Criterio de aceptación: La empresa envía una solicitud que el coach ve en su panel. (10h estimadas),1,Sprint 13,Empresa,Medium,mvp;empresa
Story,,Satisfacción y gestión comercial,"""Abrir nuevo proceso con [nombre]"" desde un proceso cerrado","Criterio de aceptación: Desde un proceso cerrado, un botón pre-llena el formulario de apertura con ese mismo coachee. (10h estimadas)",1,Sprint 13,Empresa,Low,mvp;empresa
Story,,Satisfacción y gestión comercial,"KPIs de empresa (procesos terminados/en curso, asistencia, satisfacción)",Criterio de aceptación: Los 4 KPIs se calculan desde datos reales de la empresa logueada. (5h estimadas),1,Sprint 13,Empresa,Medium,mvp;empresa
Epic,"Hardening, calidad y cierre",,"Hardening, calidad y cierre","Backups, e2e, seguridad y pulido final antes del cierre del MVP. Depende de todas las épicas anteriores. Total estimado: 18 pts / 100h.",,Sprint 14,Transversal,High,mvp;transversal
Story,,"Hardening, calidad y cierre",Backups automáticos de Postgres,Criterio de aceptación: Backup diario programado y restaurable en un entorno de prueba. (15h estimadas),3,Sprint 14,Transversal,High,mvp;transversal
Story,,"Hardening, calidad y cierre",Suite e2e (Playwright) cubriendo los 3 roles,Criterio de aceptación: Un flujo completo por rol (login → acción principal) pasa en CI. (30h estimadas),5,Sprint 14,Transversal,High,mvp;transversal
Story,,"Hardening, calidad y cierre","Revisión de headers de seguridad, puertos expuestos y variables de entorno",Criterio de aceptación: Ningún puerto interno queda expuesto públicamente; secretos fuera del control de versiones. (15h estimadas),3,Sprint 14,Transversal,High,mvp;transversal
Story,,"Hardening, calidad y cierre",Densidad para celular en toda la plataforma,Criterio de aceptación: Ninguna vista requiere scroll horizontal en un viewport de 375px. (15h estimadas),3,Sprint 14,Transversal,Medium,mvp;transversal
Story,,"Hardening, calidad y cierre",Onboarding y estados vacíos (coachee/empresa nuevos),"Criterio de aceptación: Un usuario nuevo sin datos ve un estado guía, no una pantalla en blanco o con error. (15h estimadas)",2,Sprint 14,Transversal,Medium,mvp;transversal
Story,,"Hardening, calidad y cierre","Validación de formularios (teléfono, email, montos, enlaces)",Criterio de aceptación: Los campos rechazan formatos inválidos con mensaje de error claro. (10h estimadas),2,Sprint 14,Transversal,Medium,mvp;transversal
